date,title,label,label_volatility,impact_type,impact_class,section,ticker
2024-02-26,"МТС создала новое ""МТС Медиа"" вместо переименованного в ""Кион""",0,0,trend,neutral,business,MTSS
2024-07-16,"МТС передает квазиказначейский пакет порядка 1,1% капитала в ЗПИФ для оптимизации расходов",1,0,none,up,business,MTSS
2024-07-16,Индекс Мосбиржи опустился ниже 2900п на фоне упавшей нефти и отсечки дивидендов МТС,1,0,none,up,business,MTSS
2024-07-16,"МТС передает квазиказначейский пакет порядка 1,1% капитала в ЗПИФ для оптимизации расходов",1,0,none,up,business,MTSS
2024-07-16,Индекс Мосбиржи опустился ниже 2900п на фоне упавшей нефти и отсечки дивидендов МТС,1,0,none,up,business,MTSS
2024-07-25,МТС разместила бонды на 17 млрд рублей с привязкой к ключевой ставке,-1,1,"trend,volatility",down_vol,business,MTSS
2024-10-02,Нерезиденты предъявили к оферте менее 1% акций МТС,0,0,trend,neutral,business,MTSS
2025-01-31,"Акционеры МТС утвердили изменения, необходимые для реструктуризации корпуправления",0,0,none,neutral,business,MTSS
2025-02-27,На СПбМТСБ в феврале объем торгов газом вырос с приходом морозов,0,1,volatility,neutral_vol,business,MTSS
2025-02-27,На СПбМТСБ в феврале объем торгов газом вырос с приходом морозов,0,1,volatility,neutral_vol,business,MTSS
2025-03-13,"МТС переименовала ""дочку"" ""Телеком проекты"" под финтех-направление",0,0,none,neutral,business,MTSS
2021-11-08,"CEO ""ФосАгро"" не ждет негативных последствий от квот на экспорт удобрений",0,0,none,neutral,business,PHOR
2021-11-08,"CEO ""ФосАгро"" не ждет негативных последствий от квот на экспорт удобрений",0,0,none,neutral,business,PHOR
2021-12-17,"CEO ""ФосАгро"" предложил обсудить вопрос об обязательной COVID-вакцинации",-1,0,trend,down,russia,PHOR
2022-02-09,"Акции ""ФосАгро"" выросли на 5,7% на новостях о дивидендах",0,1,volatility,neutral_vol,business,PHOR
2022-02-09,"Рекомендация СД ""ФосАгро"" по дивидендам оказалась существенно выше ожиданий экспертов",0,1,volatility,neutral_vol,business,PHOR
2022-02-09,"Акции ""ФосАгро"" выросли на 5,7% на новостях о дивидендах",0,1,volatility,neutral_vol,business,PHOR
2022-02-09,"Рекомендация СД ""ФосАгро"" по дивидендам оказалась существенно выше ожиданий экспертов",0,1,volatility,neutral_vol,business,PHOR
2022-11-03,"Скорректированная EBITDA ""ФосАгро"" за 9 месяцев выросла в 1,7 раза",-1,0,trend,down,business,PHOR
2022-11-03,"""ФосАгро"" улучшила прогноз производства на 2022 год",-1,0,trend,down,business,PHOR
2022-11-03,"Совет директоров ""ФосАгро"" рекомендовал промежуточные дивиденды в 318 рублей на акцию",-1,0,trend,down,business,PHOR
2022-12-21,Capex ФосАгро в 2023 году превысит 66 млрд рублей,1,0,none,up,business,PHOR
2022-12-21,Capex ФосАгро в 2023 году превысит 66 млрд рублей,1,0,none,up,business,PHOR
2023-03-03,"Рынок акций РФ в пятницу превысил 2270 п. во главе с ""ФосАгро"", неделя закрылась ростом",0,0,trend,neutral,business,PHOR
2023-03-03,"Скорректированная EBITDA ""ФосАгро"" в IV квартале упала на 28%, ниже прогноза",0,0,trend,neutral,business,PHOR
2023-08-30,"СД ""ФосАгро"" рекомендовал промежуточные дивиденды в 126 рублей на акцию",-1,0,none,down,business,PHOR
2024-11-07,"""ФосАгро"" повысила ориентир по capex на 2024 год с 73 до 75 млрд рублей",1,1,"trend,volatility",up_vol,business,PHOR
2024-11-07,"СД ""ФосАгро"" рекомендовал промежуточные дивиденды в 249 руб. на акцию",1,1,"trend,volatility",up_vol,business,PHOR
2024-11-19,"""ФосАгро"" отказалась от идеи полномасштабной карбоновой фермы",1,0,none,up,business,PHOR
2024-11-19,"""ФосАгро"" отказалась от идеи полномасштабной карбоновой фермы",1,0,none,up,business,PHOR
